Gene ID	% GC content
ENSG00000252303	39.42
ENSG00000281771	39.45
ENSG00000281256	46.26
ENSG00000283272	38.75
ENSG00000280864	44.83
ENSG00000280792	59.69
ENSG00000282878	45.18
ENSG00000283276	36.89
ENSG00000281822	45.73
ENSG00000281384	48.93
ENSG00000280505	48.80
ENSG00000281764	46.01
ENSG00000281316	44.15
ENSG00000280963	58.06
ENSG00000280775	47.66
ENSG00000281876	48.44
ENSG00000281766	38.56
ENSG00000281518	58.28
ENSG00000281614	48.78
ENSG00000280584	63.87
ENSG00000281230	43.15
ENSG00000281917	40.76
ENSG00000281067	48.38
ENSG00000281552	47.26
ENSG00000280820	61.81
ENSG00000280751	58.91
ENSG00000280632	45.74
ENSG00000281557	45.14
ENSG00000281430	62.72
ENSG00000281813	40.60
ENSG00000280680	42.29
ENSG00000281309	53.39
ENSG00000281877	53.51
ENSG00000281434	48.44
ENSG00000281226	53.59
ENSG00000283081	52.67
ENSG00000281393	45.36
ENSG00000283034	44.45
ENSG00000281459	53.30
ENSG00000281022	56.94
ENSG00000281499	39.47
ENSG00000280937	43.41
ENSG00000281626	42.79
ENSG00000280549	51.48
ENSG00000280669	53.38
ENSG00000280781	47.46
ENSG00000281707	44.16
ENSG00000281810	60.92
ENSG00000280908	49.07
ENSG00000281699	46.43
ENSG00000280948	61.54
ENSG00000281092	54.61
ENSG00000280876	44.12
ENSG00000281894	45.82
ENSG00000281679	34.38
ENSG00000280806	53.36
ENSG00000280926	38.46
ENSG00000281835	47.04
ENSG00000281805	54.04
ENSG00000280858	50.42
ENSG00000280949	52.07
ENSG00000281770	42.03
ENSG00000281391	50.40
ENSG00000281540	51.68
ENSG00000280889	37.33
ENSG00000281243	37.84
ENSG00000281907	39.73
ENSG00000281541	40.91
ENSG00000281456	42.72
ENSG00000280661	45.57
ENSG00000280795	59.78
ENSG00000280627	53.96
ENSG00000281089	45.33
ENSG00000281709	40.20
ENSG00000281024	59.53
ENSG00000280907	42.54
ENSG00000281306	42.60
ENSG00000280951	52.38
ENSG00000281102	41.53
ENSG00000280872	43.08
ENSG00000281448	40.62
ENSG00000281661	39.42
ENSG00000281665	41.53
ENSG00000281245	54.49
ENSG00000280706	51.72
ENSG00000280652	47.46
ENSG00000281388	53.21
ENSG00000280610	41.48
ENSG00000281857	48.72
ENSG00000280928	51.60
ENSG00000280516	52.21
ENSG00000281886	46.73
ENSG00000280873	47.76
ENSG00000281244	55.14
ENSG00000280701	51.95
ENSG00000280674	47.26
ENSG00000281623	46.02
ENSG00000280479	58.04
ENSG00000281165	61.28
ENSG00000281879	48.86
ENSG00000282873	52.98
ENSG00000280651	50.95
ENSG00000282162	47.68
ENSG00000281211	53.06
ENSG00000281509	32.50
ENSG00000283302	55.28
ENSG00000283035	41.34
ENSG00000281934	48.02
ENSG00000281865	39.77
ENSG00000281252	39.95
ENSG00000281175	51.22
ENSG00000281616	53.59
ENSG00000281178	50.33
ENSG00000281084	47.12
ENSG00000282116	50.32
ENSG00000280895	57.71
ENSG00000282175	46.13
ENSG00000281878	36.50
ENSG00000281449	40.68
ENSG00000280477	56.87
ENSG00000282817	47.20
ENSG00000282584	48.21
ENSG00000282663	47.85
ENSG00000280531	60.94
ENSG00000279195	50.06
ENSG00000282338	45.79
ENSG00000282549	49.04
ENSG00000281840	45.60
ENSG00000282172	42.86
ENSG00000282119	47.55
ENSG00000281442	53.52
ENSG00000283344	31.76
ENSG00000281277	49.32
ENSG00000282791	50.11
ENSG00000282437	48.08
ENSG00000281029	51.85
ENSG00000283318	38.54
ENSG00000281705	51.59
ENSG00000282566	45.15
ENSG00000281324	38.53
ENSG00000282559	47.02
ENSG00000282258	50.59
ENSG00000282562	51.90
ENSG00000280975	45.88
ENSG00000282530	46.14
ENSG00000282468	50.61
ENSG00000282341	47.29
ENSG00000281987	48.32
ENSG00000282095	48.64
ENSG00000282298	48.13
ENSG00000282741	50.13
